id,username,question,response,date
1,Amadou,Qu'est ce que ce chatbot ?,Ce chatbot est concu pour vous aider à vous preinscrire en ligne,09/01/24 03:32 PM
2,Andre,Comment fonctionne ce chabot ?,ce chatbot vous pose des questions pour collecter vos informations et vous guide tout au long du processus de preinscription,09/02/24
3,Esther,Comment fonctionne ce chabot ?,ce chatbotbot vous pose des questions pour collecter vos informations et vous guide tout au long du processus de preinscription,09/02/24 09:19 PM
4,Corinne,Quels sont les avantages de l'utilisation de ce chabot ?,"ce chatbot vous permet de vous preinscrire rapidement et facilement, sans avoir à remplir de longs formulaire",09/03/24 03:56 AM
5,Yannick,Qu'est ce que ce chatbot ?,Ce chatbot est concu pour vous aider à vous preinscrire en ligne,09/03/24 05:09 PM
6,André,Comment puis-je me preinscrire en ligne ?,suivez les etapes du chatbot pour founir vos informations et telecharger les docuements necessaires,05/05/24 11:23 AM
7,Thierry,Quels documents dois je fournir pour la preinscription ?,"Veuillez fournir une copie de votre piece d'identité, votre diplome et votre releve de notes",09/05/24 08:47 AM
8,Claire,Quels sont les criteres d'accessibilité pour la preinscription ?,Veuilllez consulter note sibe web pour obtenir les informations les plus à jour sur es criteres d'admissibilités,09/05/24 02:26 PM
9,Yannick,Quels sont les avantages de l'utilisation de ce chabot ?,"ce chatbot vous permet de vous preinscrire rapidement et facilement, sans avoir à remplir de longs formulaire",09/07/24 11:24 AM
10,Isabelle,Puis-je annuler ma preinscription ?,,09/07/24 04:20 AM
11,Patricia,Quels sont les criteres d'accessibilité pour la preinscription ?,Veuilllez consulter note sibe web pour obtenir les informations les plus à jour sur es criteres d'admissibilités,09/07/24 08:10 PM
12,Valerie,Comment obtenir plus d'informations sur le programe ?,Veuillez consulter notre site web ou nous contacter,09/07/24 08:06 PM
13,Valerie,Qu'est ce que ce chatbot ?,Ce chatbot est concu pour vous aider à vous preinscrire en ligne,09/13/24 11:28 AM
14,Fabrice,Puis je preinscrire si je n'ai pas de diplome requis ?,"Non, vous devez avoir le diplome requis pour etre admissible",09/13/24 09:50 AM
15,David,Quels sont les criteres d'accessibilité pour la preinscription ?,Veuillez consulter notre site web pour obtenir les informations les plus à jour sur les criteres d'accessibilite,09/13/24 12:27 AM
16,Celestin,Combien coute la preinscription ?,La preinscription est gratuite,09/18/24 12:27 AM
17,Florence,Quels sont les avantages de l'utilisation de ce chabot ?,"ce chatbot vous permet de vous preinscrire rapidement et facilement, sans avoir à remplir de longs formulaire",09/18/24 12:28 AM
18,Patricia,Combien de temps prend la verification des documents ?,La verification des documents prend environ 3-5jours ouvrables,09/18/24 04:00 AM
19,Valerie,Le chatbot ne fonctionne pas,,09/18/24 01:45 AM
20,Marie,Quels sont les avantages de l'utilisation de ce chabot ?,"ce chatbot vous permet de vous preinscrire rapidement et facilement, sans avoir à remplir de longs formulaire",09/18/24 04:30 AM
21,Koffi,Quels sont les formats de fichiers acceptes ?,"Nous acceptons les fichiers pdf , jpeg , png",09/18/24 12:28 AM
22,Paul,J'ai des problemes pour telecharger mes documents ?,Veuillez verifier que vos fichiers sont au format coreect et essayez à nouveau,09/20/24 12:21 AM
23,Samuel,Comment puis-je payer les frais de scolarité ?,Vous pouvez payer les frais de sclarite en ligne ou par chèque,09/20/24 08:01 PM
24,Pierre,Comment fonctionne ce chabot ?,ce chatbotbot vous pose des questions pour collecter vos informations et vous guide tout au long du processus de preinscription,09/20/24 12:03 AM
25,Koffi,,Bonjour ! Bienvenue ans notre chatbot de preinscritpion,09/23/24 08:48 AM
26,Michel,Comment puis-je payer les frais de scolarité ?,,09/23/24 06:20 PM
27,Aicha,,Salut ! Nous sommes ravis de vous aider a vous preinscrire en ligne,09/23/24 12:05 AM
28,Thomas,Puis je preinscrire si je n'ai pas de diplome requis ?,"Non, vous devez avoir le diplome requis pour etre admissible",09/23/24 04:59 AM
29,Claire,,,09/23/24 01:10 PM
30,Sylvie,Quels sont les criteres d'accessibilité pour la preinscription ?,,09/24/24 10:00 AM
31,Viviane,Quel sont les cours obligatoires pour le programe de licence ?,Veuilllez consulter note sibe web pour obtenir les informations les plus à jour,09/24/24 08:41 PM
32,Josiane,Quels sont les avantages de l'utilisation de ce chabot ?,"ce chatbot vous permet de vous preinscrire rapidement et facilement, sans avoir à remplir de longs formulaire",09/24/24 11:23 AM
33,Serge,J'ai des problemes pour telecharger mes documents ?,,09/24/24 03:32 PM
34,Eric,Comment je serai informe de la decision relative à ma preinscription ?,,09/24/24 04:00 PM
35,Celestion,,Hello ! Comment puis-je vous aider aujourd'hui ?,09/25/24 12:28 AM
36,Amoudou,Quels sont les avantages de l'utilisation de ce chabot ?,"ce chatbot vous permet de vous preinscrire rapidement et facilement, sans avoir à remplir de longs formulaire",09/31/2024  16:28
37,Gabriel,Comment fonctionne ce chabot ?,ce chatbot vous pose des questions pour collecter vos informations et vous guide tout au long du processus de preinscription,09/25/24 07:45 AM
38,Jean-pierre,,Hello ! Comment puis-je vous aider aujourd'hui ?,09/25/24 01:51 PM
39,Gabriel,Quels sont les avantages de l'utilisation de ce chabot ?,"ce chatbot vous permet de vous preinscrire rapidement et facilement, sans avoir à remplir de longs formulaire",09/25/24 12:28 AM
40,Gabriel,Combien de documents puis-je telechargé ?,Vous pouvez telecharger jusqu'à 5 documents,09/25/24 08:06 PM
41,Thomas,Quels sont les delais de ma preinscriptions ?,Les delais pour la preinscritpion sont disponibles sur le site web,09/27/24 07:45 AM
41,Leonce,Quels sont les scores minimuns requis pour les tests d'entrée ?,,09/27/24 12:28 AM
43,Yannick,Qu'est ce que ce chatbot ?,Ce chatbot est concu pour vous aider à vous preinscrire en ligne,09/27/24 05:29 AM
44,Isabelle,Quels sont les avantages de l'utilisation de ce chabot ?,"ce chatbot vous permet de vous preinscrire rapidement et facilement, sans avoir à remplir de longs formulaire",09/27/24 06:13 AM
45,Marie,Puis je preinscrire si je n'ai pas de diplome requis ?,,09/27/24 08:50 AM
46,Chantal,Quels documents dois je fournir pour la preinscription ?,"Veuillez fournir une copie de votre piece d'identité, votre diplome et votre releve de notes",09/27/24 05:35 PM
47,Brigitte,Combien de credits dois-je obtenir pour valider mon semestre ?,Vous devez obtenir 30 credits pour valider votre semestre,09/27/24 10:06 PM
48,Claire,Combien coute la preinscription ?,La preinscription est gratuite,09/28/24 12:28 AM
49,Amelie,Qu'est ce que ce chatbot ?,Ce chatbot est concu pour vous aider à vous preinscrire en ligne,09/28/24 08:00 PM
50,Tangay,,Enchante ! Nous sommes ici pour vous aider à reussir votre preinscription,09/28/24 11:22 AM
51,Samuel,Quels sont les avantages de l'utilisation de ce chabot ?,"ce chatbot vous permet de vous preinscrire rapidement et facilement, sans avoir à remplir de longs formulaire",09/28/24 05:08 PM
52,Michel,Puis je preinscrire si je n'ai pas de diplome requis ?,,09/28/24 02:34 PM
53,Martin,Comment fonctionne ce chabot ?,ce chatbot vous pose des questions pour collecter vos informations et vous guide tout au long du processus de preinscription,09/28/24 08:06 PM
54,Felix,,Bonjour ! Bienvenue ans notre chatbot de preinscription,09/28/24 12:00 AM
55,David,Comment puis-je payer les frais de scolarité ?,Vous pouvez payer les frais de sclarite en ligne ou par chèque,09/29/24 01:11 AM
56,David,Qu'est ce que ce chatbot ?,Ce chatbot est concu pour vous aider à vous preinscrire en ligne,09/30/24 08:06 PM
57,Thierry,,Hello ! Comment puis-je vous aider aujourd'hui ?,09/29/24 08:10 PM
58,Salenom,Comment fonctionne ce chabot ?,ce chatbotbot vous pose des questions pour collecter vos informations et vous guide tout au long du processus de preinscription,09/29/24 03:20 AM
59,Bernad,Quels sont les avantages de l'utilisation de ce chabot ?,"ce chatbot vous permet de vous preinscrire rapidement et facilement, sans avoir à remplir de longs formulaire",09/29/24 12:54 AM
60,Eric,Comment fonctionne ce chabot ?,ce chatbotbot vous pose des questions pour collecter vos informations et vous guide tout au long du processus de preinscription,09/29/24 03:37 PM
61,Samuel,Puis-je annuler ma preinscription ?,"Oui, vous pouvez annuker votre preinscription en nous contactant",09/29/24 12:28 AM
62,David,,Enchante ! Nous sommes ici pour vous aider à reussir votre preinscription,09/30/24 08:17 AM
63,Rose,Le chatbot ne fonctionne pas,Hello ! Comment puis-je vous aider aujourd'hui ?,09/30/24 08:06 PM
54,Patricia,Comment je serai informe de la decision relative à ma preinscription ?,Vous serez informe par courriel ou par telephone,09/30/24 04:06 AM
65,Fabrice,Comment je serai informe de la decision relative à ma preinscription ?,Vous serez informe par courriel ou par telephone,09/30/24 08:41 PM
66,Celistin,Puis -je me preinscrire en ligne si je suis á l'etranger ?,"Oui, vous pouvez vous preinscrire depuis n'importe oû dans le monde",09/30/24 10:37 PM
67,Gabriel,,Bienvenue dans note communauté! Nous sommes heureux de vous avoie à bord,09/22/24 07:01 AM
68,Ange,Combien de temps prend la verification des documents ?,La verification des documents prend environ 3-5jours ouvrables,09/06/24 08:03 PM
69,Alexandre,Combien de temps prend la procedure de visa ?,,09/29/24 10:05 AM
70,Ismael,Puis-je annuler ma preinscription ?,"Oui, vous pouvez annuker votre preinscription en nous contactant",09/24/24 04:09 AM
71,Ismael,Combien de temps prend la verification des documents ?,La verification des documents prend environ 3-5jours ouvrables,date
72,,Combien de temps prend la verification des documents ?,La verification des documents prend environ 3-5jours ouvrables,date
